Numéro de mesure;Longitude;Latitude;Position;Insee;Adresse;Complément;Code postal;Commune;Date de mesure;Mesure réalisée;Rapport;Conformité de la mesure;Niveau global;"Type d'environnement";laboratoire
180896;4.07346;44.123978;"44°7'26.321""N 4°4'24.456""E";30007;Grande rue Jean Moulin;"";30100;ALES;22/02/2023;En extérieur;RPUB_153963.pdf;Oui;0.61;"Lieu d'habitation";EXEM
180901;3.97393;43.542903;"43°32'34.451""N 3°58'26.148""E";34154;Avenue Samuel Bassaget;"";34130;MAUGUIO;22/02/2023;En extérieur;RPUB_153967.pdf;Oui;3.76;"Lieu d'habitation";EXEM
180905;1.35494;43.481668;"43°28'54.005""N 1°21'17.784""E";31533;Rond Point des Chasseurs;"";31600;SAUBENS;24/02/2023;En extérieur;RPUB_153974.pdf;Oui;0.61;Rue / Route / Parking;EXEM
180906;1.350202;43.480645;"43°28'50.322""N 1°21'0.727""E";31533;Rue des Ecoles;"";31600;SAUBENS;24/02/2023;En intérieur;RPUB_153973.pdf;Oui;0.12;"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";EXEM
180907;1.352863;43.488619;"43°29'19.028""N 1°21'10.307""E";31533;Chemin de Roquettes;"";31600;SAUBENS;24/02/2023;En extérieur;RPUB_153972.pdf;Oui;1.04;Rue / Route / Parking;EXEM
181190;1.474078;43.586865;"43°35'12.714""N 1°28'26.681""E";31555;Avenue Jean Rieux;"";31500;TOULOUSE;22/03/2023;En extérieur;RPUB_154281.pdf;Oui;1.86;"Lieu d'habitation";EXEM
181233;2.766586;43.244751;"43°14'41.104""N 2°45'59.710""E";11013;Rue De La Tuilerie;"";11200;ARGENS MINERVOIS;23/03/2023;En intérieur;RPUB_154294.pdf;Oui;0.18;"Lieu d'habitation";EXEM
181237;3.873625;43.612038;"43°36'43.337""N 3°52'25.050""E";34172;Rue Jean Jacques Rousseau;"";34000;MONTPELLIER;23/03/2023;En intérieur;RPUB_154293.pdf;Oui;0.44;"Lieu d'habitation";EXEM
181240;2.766586;43.244751;"43°14'41.104""N 2°45'59.710""E";11013;Rue De La Tuilerie;"";11200;ARGENS MINERVOIS;23/03/2023;En intérieur;RPUB_154295.pdf;Oui;0.02;"Lieu d'habitation";EXEM
181344;3.879104;43.600279;"43°36'1.004""N 3°52'44.774""E";34172;Boulevard De La Perruque;"";34000;MONTPELLIER;29/03/2023;En extérieur;RPUB_154400.pdf;Oui;2.01;"Lieu d'habitation";EXEM
181392;0.785952;43.277182;"43°16'37.855""N 0°47'9.427""E";31121;Place Du 19 Mars 1962;"";31350;CASTERA VIGNOLES;28/03/2023;En extérieur;RPUB_154461.pdf;Oui;0.94;Rue / Route / Parking;EXEM
181447;0.177069;43.519427;"43°31'9.937""N 0°10'37.448""E";32233;Route De Mirande;"";32230;MARCIAC;05/04/2023;En intérieur;RPUB_154518.pdf;Oui;0.08;"Lieu d'habitation";EXEM
181470;1.718967;43.69258;"43°41'33.288""N 1°43'8.281""E";81102;Route Des Crêtes;"";81500;GARRIGUES;17/04/2023;En extérieur;RPUB_154539.pdf;Oui;0.35;"Lieu d'habitation";EXEM
181472;1.477217;43.619266;"43°37'9.358""N 1°28'37.981""E";31555;Rue Louvois;"";31500;TOULOUSE;17/04/2023;En extérieur;RPUB_154536.pdf;Oui;0.21;"Lieu d'habitation";EXEM
181479;3.407125;43.420523;"43°25'13.883""N 3°24'25.650""E";34182;Hôtel de Ville;"";34120;NEZIGNAN L EVEQUE;19/04/2023;En extérieur;RPUB_154556.pdf;Oui;0.16;Rue / Route / Parking;EXEM
181480;4.062084;43.667352;"43°40'2.467""N 4°3'43.502""E";34321;"Place de l'Horloge";"";34130;VALERGUES;18/04/2023;En extérieur;RPUB_154557.pdf;Oui;0.19;Rue / Route / Parking;EXEM
181483;3.65937;43.44696;"43°26'49.056""N 3°39'33.732""E";34039;Rue du port;"";34140;BOUZIGUES;12/04/2023;En extérieur;RPUB_154558.pdf;Oui;0.18;Rue / Route / Parking;EXEM
181487;3.695859;43.401513;"43°24'5.447""N 3°41'45.092""E";34301;Rue Paul Valery;"";34200;SETE;12/04/2023;En extérieur;RPUB_154560.pdf;Oui;0.3;Rue / Route / Parking;EXEM
181490;3.933513;43.528591;"43°31'42.928""N 3°56'0.647""E";34192;Boulevard Marechal Joffre;"";34250;PALAVAS LES FLOTS;19/04/2023;En extérieur;RPUB_154561.pdf;Oui;1.55;Rue / Route / Parking;EXEM
181498;3.897706;43.632759;"43°37'57.932""N 3°53'51.742""E";34057;Rue de la crouzette;"";34170;CASTELNAU LE LEZ;13/04/2023;En extérieur;RPUB_154559.pdf;Oui;0.42;Rue / Route / Parking;EXEM
181501;3.293996;43.246707;"43°14'48.145""N 3°17'38.386""E";34324;Allée Charles de Gaulle;"";34350;VALRAS PLAGE;19/04/2023;En extérieur;RPUB_154553.pdf;Oui;0.86;Rue / Route / Parking;EXEM
181502;3.896096;43.599297;"43°35'57.469""N 3°53'45.946""E";34172;Place Georges Freche;"";34000;MONTPELLIER;12/04/2023;En extérieur;RPUB_154552.pdf;Oui;3.31;Rue / Route / Parking;EXEM
181509;3.756267;43.445824;"43°26'44.966""N 3°45'22.561""E";34108;"Place de l'Hôtel de Ville";"";34110;FRONTIGNAN;19/04/2023;En extérieur;RPUB_154555.pdf;Oui;0.25;Rue / Route / Parking;EXEM
181510;3.213029;43.3429;"43°20'34.440""N 3°12'46.904""E";34032;Place Gabriel Peri;"";34500;BEZIERS;19/04/2023;En extérieur;RPUB_154563.pdf;Oui;1.02;Rue / Route / Parking;EXEM
181514;1.429452;43.668993;"43°40'8.375""N 1°25'46.027""E";31022;Place Jean Bazerque;"";31140;AUCAMVILLE;12/04/2023;En extérieur;RPUB_154542.pdf;Oui;1.17;Rue / Route / Parking;EXEM
181521;1.497081;43.426886;"43°25'36.790""N 1°29'49.492""E";31240;Chemin De Panici;"";31450;ISSUS;21/04/2023;En intérieur;RPUB_154587.pdf;Oui;0.19;"Lieu d'habitation";EXEM
181525;1.474582;43.58709;"43°35'13.524""N 1°28'28.495""E";31555;Avenue de Savoie;"";31500;TOULOUSE;24/04/2023;En extérieur;RPUB_154596.pdf;Oui;1.47;"Lieu d'habitation";EXEM
181534;1.350288;43.480118;"43°28'48.425""N 1°21'1.037""E";31533;Place Geraud Lavergne;"";31600;SAUBENS;04/04/2023;En extérieur;RPUB_154602.pdf;Oui;0.2;Rue / Route / Parking;EXEM
181536;3.953678;43.563935;"43°33'50.166""N 3°57'13.241""E";34198;Place Carnot;"";34470;PEROLS;12/04/2023;En extérieur;RPUB_154621.pdf;Oui;0.3;Rue / Route / Parking;EXEM
181539;1.47558;43.545904;"43°32'45.254""N 1°28'32.088""E";31446;Place Charles de Gaulle;"";31520;RAMONVILLE SAINT AGNE;04/04/2023;En extérieur;RPUB_154611.pdf;Oui;0.35;Rue / Route / Parking;EXEM
181543;1.504312;43.665039;"43°39'54.140""N 1°30'15.523""E";31488;Place de la mairie;"";31240;SAINT JEAN;03/04/2023;En extérieur;RPUB_154608.pdf;Oui;1.33;Rue / Route / Parking;EXEM
181545;0.583904;43.646882;"43°38'48.775""N 0°35'2.054""E";32013;Place de la Libération;"";32000;AUCH;24/04/2023;En extérieur;RPUB_154612.pdf;Oui;1.36;Rue / Route / Parking;EXEM
