Numéro de mesure;Service;Bande;Niveau mesuré;Niveau extrapolé
180896;DECT (Téléphone domestique);1880-1900;"";""
181190;DECT (Téléphone domestique);1880-1900;"";""
181233;DECT (Téléphone domestique);1880-1900;"";""
181237;DECT (Téléphone domestique);1880-1900;"";""
181344;DECT (Téléphone domestique);1880-1900;"";""
181447;DECT (Téléphone domestique);1880-1900;"";""
181470;DECT (Téléphone domestique);1880-1900;"";""
181472;DECT (Téléphone domestique);1880-1900;"";""
181479;DECT (Téléphone domestique);1880-1900;"";""
181480;DECT (Téléphone domestique);1880-1900;"";""
181483;DECT (Téléphone domestique);1880-1900;"";""
181487;DECT (Téléphone domestique);1880-1900;"";""
181490;DECT (Téléphone domestique);1880-1900;"";""
181498;DECT (Téléphone domestique);1880-1900;"";""
181501;DECT (Téléphone domestique);1880-1900;"";""
181502;DECT (Téléphone domestique);1880-1900;"";""
181509;DECT (Téléphone domestique);1880-1900;"";""
181510;DECT (Téléphone domestique);1880-1900;"";""
181514;DECT (Téléphone domestique);1880-1900;"";""
181525;DECT (Téléphone domestique);1880-1900;"";""
181534;DECT (Téléphone domestique);1880-1900;"";""
181536;DECT (Téléphone domestique);1880-1900;"";""
181539;DECT (Téléphone domestique);1880-1900;"";""
181543;DECT (Téléphone domestique);1880-1900;"";""
181545;DECT (Téléphone domestique);1880-1900;"";""
181554;DECT (Téléphone domestique);1880-1900;"";""
181556;DECT (Téléphone domestique);1880-1900;"";""
181557;DECT (Téléphone domestique);1880-1900;"";""
181562;DECT (Téléphone domestique);1880-1900;"";""
181572;DECT (Téléphone domestique);1880-1900;"";""
181575;DECT (Téléphone domestique);1880-1900;"";""
181581;DECT (Téléphone domestique);1880-1900;"";""
181583;DECT (Téléphone domestique);1880-1900;"";""
181586;DECT (Téléphone domestique);1880-1900;"";""
181591;DECT (Téléphone domestique);1880-1900;"";""
181613;DECT (Téléphone domestique);1880-1900;"";""
181618;DECT (Téléphone domestique);1880-1900;"";""
181801;DECT (Téléphone domestique);1880-1900;"";""
181818;DECT (Téléphone domestique);1880-1900;"";""
181833;DECT (Téléphone domestique);1880-1900;"";""
181843;DECT (Téléphone domestique);1880-1900;"";""
182112;DECT (Téléphone domestique);1880-1900;"";""
