Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
4578;1.6369444444444445;43.23444444444444;"43°14'4.000""N 1°38'13.000""E";09185;ECH DE MAZÈRES-SAV;ECH DE MAZERES SAVERDUN;09270;MAZERES;Pylône autostable;40.0;TDF
4580;1.615;43.1525;"43°9'9.000""N 1°36'54.000""E";09225;PÉAGE;PEAGE;09100;PAMIERS;Pylône autostable;40.0;TDF
4844;2.2736111111111112;43.358333333333334;"43°21'30.000""N 2°16'25.000""E";11115;CAZELLES;RD.118;11390;CUXAC CABARDES;Pylône autostable;25.0;TOTEM
4874;1.9033333333333333;43.193333333333335;"43°11'36.000""N 1°54'12.000""E";11159;"";ROUTE DE CASTELNAUDARY;11270;GAJA LA SELVE;Pylône autostable;12.0;TOTEM
4882;2.216666666666667;43.045833333333334;"43°2'45.000""N 2°13'0.000""E";11206;LES ENCANTADOS;"";11300;LIMOUX;Pylône autostable;10.0;ORANGE Services Fixes
5090;2.8902777777777775;43.954166666666666;"43°57'15.000""N 2°53'25.000""E";12208;"";BD DE LA CAPELLE CENTRAL TÉLÉPHONIQUE;12400;SAINT AFFRIQUE;Pylône autostable;16.0;TOTEM
5096;3.1372222222222224;44.20333333333333;"44°12'12.000""N 3°8'14.000""E";12200;PUECH DE FONTANEILLES;"";12640;RIVIERE SUR TARN;Pylône autostable;25.0;TOTEM
5102;3.3019444444444446;44.02333333333333;"44°1'24.000""N 3°18'7.000""E";12168;"";ALLÉE CHAUDE ROUTE NEUVE AUTOCOMMUTATEUR;12230;NANT;Pylône autostable;12.0;TOTEM
5124;2.6638888888888888;44.165;"44°9'54.000""N 2°39'50.000""E";12006;LE FALGAS;"";12430;ALRANCE;Pylône autostable;12.0;TOTEM
5126;2.7061111111111114;44.0875;"44°5'15.000""N 2°42'22.000""E";12299;CAMP DEL SOL;RUE DES HAUTES CIMES;12430;VILLEFRANCHE DE PANAT;Pylône tubulaire;15.0;TOTEM
5142;2.899166666666667;43.954166666666666;"43°57'15.000""N 2°53'57.000""E";12208;LES COMBES;"";12400;SAINT AFFRIQUE;Pylône autostable;16.0;TOTEM
5150;2.755;43.82416666666667;"43°49'27.000""N 2°45'18.000""E";12025;LE CLAPAYROL;ROUTE DE CAMARES D91 AUTOCOMMUTATEUR;12370;BELMONT SUR RANCE;Pylône autostable;8.0;TOTEM
5152;2.641388888888889;43.96666666666667;"43°58'0.000""N 2°38'29.000""E";12149;LE BOUIS;D 60;12550;MONTCLAR;Pylône autostable;16.0;TOTEM
8756;3.5433333333333334;44.09027777777778;"44°5'25.000""N 3°32'36.000""E";30105;"L'ESPEROU";"";30750;DOURBIES;Pylône autostable;6.0;TOTEM
8774;3.756666666666667;44.13472222222222;"44°8'5.000""N 3°45'24.000""E";30310;CAPOU ET LA CARRIERE;"";30125;SAUMANE;Pylône autostable;18.0;TOTEM
8782;3.6508333333333334;44.077777777777776;"44°4'40.000""N 3°39'3.000""E";30339;LA BESSEDE;"";30570;VAL D AIGOUAL;Pylône autostable;6.0;ORANGE Services Fixes
8802;3.848888888888889;44.03638888888889;"44°2'11.000""N 3°50'56.000""E";30140;MONTREDON;"";30460;LASALLE;Pylône autostable;27.0;ORANGE Services Fixes
