Numéro Cartoradio;Numéro de Station;"Date d'accord ANFR de l'implantation";Date de mise en service;Date de la dernière modification
100000;0812750025;30/04/1998;14/10/1998;18/07/2023
100005;0822750009;30/04/1998;14/10/1998;05/08/2022
100007;0822750013;30/04/1998;18/12/2008;27/10/2023
1000177;0342700469;15/02/2013;24/01/2014;06/01/2023
1000229;0652290154;15/02/2013;19/11/2012;22/05/2023
100072;0342700002;07/05/1998;26/06/1998;20/12/2024
100155;0112750034;07/05/1998;02/12/2003;20/12/2024
100170;0312750042;07/05/1998;01/10/2013;02/08/2024
100171;0312750048;07/05/1998;01/10/2013;06/12/2024
100172;0312750049;07/05/1998;01/10/2013;05/04/2024
100173;0312750050;07/05/1998;14/10/1998;06/12/2024
100176;0312750053;07/05/1998;24/08/1998;06/01/2025
1001848;0652290155;22/02/2013;19/11/2012;02/10/2020
1001926;0310031253;22/02/2013;01/03/2013;""
1001933;0310460314;22/02/2013;15/04/2014;""
1002120;0122290199;22/02/2013;22/10/2012;08/07/2022
100213;0812750031;07/05/1998;14/10/1998;22/07/2022
100214;0812750033;07/05/1998;14/10/1998;05/07/2024
100215;0812750034;07/05/1998;06/08/2018;12/01/2024
100264;0310770002;15/05/1998;13/11/2017;14/02/2020
1002695;0812290172;22/02/2013;31/01/2013;01/07/2022
1002760;0310990066;22/02/2013;06/06/2013;08/09/2023
1002761;0310030625;01/03/2013;02/04/2013;""
1002763;0310031255;01/03/2013;02/04/2013;""
1002764;0310031256;01/03/2013;02/04/2013;""
1002765;0310031257;01/03/2013;02/04/2013;""
1002766;0310031258;01/03/2013;02/04/2013;""
1002882;0822290097;01/03/2013;13/12/2012;30/05/2022
100292;0822700024;22/05/1998;21/08/1998;19/08/2024
100313;0312750034;22/05/1998;01/10/2013;09/08/2024
100314;0312750047;22/05/1998;14/10/1998;18/08/2023
100348;0812750035;22/05/1998;14/10/1998;26/05/2023
100379;0112750035;29/05/1998;02/07/1998;24/06/2022
100380;0112750036;29/05/1998;31/12/2016;17/03/2023
100388;0312750056;29/05/1998;14/10/1998;13/05/2024
100398;0342750078;29/05/1998;17/12/2007;20/01/2023
100399;0342750079;29/05/1998;03/07/1998;09/08/2024
100470;0112750032;05/06/1998;14/10/1998;03/11/2023
100471;0112750038;05/06/1998;16/06/2015;31/10/2024
100478;0312750022;05/06/1998;30/08/2013;01/04/2022
100480;0312750044;05/06/1998;14/10/1998;15/11/2024
100481;0322750002;05/06/1998;28/06/2012;02/08/2024
10050;0650230009;31/12/1975;01/06/2012;21/04/2023
100504;0812750030;05/06/1998;14/10/1998;10/03/2023
100506;0822750015;05/06/1998;01/10/2013;02/09/2022
100573;0312290259;05/06/1998;05/06/1998;07/04/2023
100577;0342290129;05/06/1998;05/06/1998;27/09/2024
100660;0312750058;12/06/1998;30/07/2021;09/08/2024
100725;0312290261;12/06/1998;09/12/2011;13/09/2024
100726;0312290262;12/06/1998;12/06/1998;27/05/2024
100727;0312290263;12/06/1998;12/06/1998;15/11/2024
100730;0342290132;12/06/1998;12/06/1998;12/04/2024
100731;0342290133;12/06/1998;17/05/2013;17/01/2025
100732;0342290134;12/06/1998;12/06/1998;15/11/2024
100835;0312750062;19/06/1998;01/10/2013;23/02/2024
100836;0312750063;19/06/1998;01/10/2013;05/01/2024
100839;0312750066;19/06/1998;01/10/2013;04/10/2024
100841;0312750068;19/06/1998;14/10/1998;31/10/2024
100887;0812750036;19/06/1998;14/10/1998;26/05/2023
101013;0090770002;19/06/1998;06/03/2019;18/12/2020
101082;0822750016;26/06/1998;01/10/2013;19/01/2024
101104;0112290054;26/06/1998;26/06/1998;24/05/2019
1011123;0810220105;01/03/2013;27/12/2012;21/12/2018
1011211;0310990067;01/03/2013;01/07/2014;17/05/2024
1011212;0310990068;01/03/2013;07/05/2013;16/12/2022
1011213;0310990069;01/03/2013;05/08/2013;25/11/2022
1011219;0820990011;01/03/2013;29/08/2013;12/05/2023
101141;0312700062;26/06/1998;07/07/1999;04/06/2021
101271;0312750072;03/07/1998;01/10/2013;13/09/2024
1012746;0470460308;08/03/2013;31/12/2012;07/11/2014
1013001;0651721038;08/03/2013;21/06/2013;03/02/2023
101313;0812750038;03/07/1998;14/10/1998;13/12/2024
101339;0312290266;03/07/1998;29/01/2005;19/08/2024
101340;0312290267;03/07/1998;16/12/2011;10/01/2025
1013539;0810230042;15/03/2013;15/04/2013;""
101369;0302700033;03/07/1998;02/10/1998;23/07/2021
101376;0472700028;03/07/1998;09/10/1998;19/08/2019
101434;0112750039;10/07/1998;09/09/1998;21/01/2022
101444;0312750070;10/07/1998;01/10/2013;09/02/2024
101447;0312750077;10/07/1998;14/10/1998;19/08/2024
101449;0312750079;10/07/1998;01/10/2013;06/05/2024
101493;0822750014;10/07/1998;04/11/1998;07/04/2023
101577;0110220068;10/07/1998;25/06/2014;16/05/2014
1016839;0470620518;22/03/2013;27/11/2007;""
1017569;0110030465;22/03/2013;02/04/2013;14/10/2016
1017580;0650030450;22/03/2013;02/04/2013;15/03/2024
1017581;0310031274;22/03/2013;02/04/2013;12/02/2016
1017583;0470030179;22/03/2013;02/04/2013;04/03/2016
101803;0822750017;24/07/1998;21/12/2017;10/02/2023
101815;0112700047;24/07/1998;19/01/1999;07/07/2023
1018155;0310990070;22/03/2013;12/07/2013;25/11/2022
1018156;0310990071;22/03/2013;25/06/2013;15/09/2023
101822;0342700111;24/07/1998;10/11/1998;09/07/2021
1018411;0481650197;22/03/2013;28/06/2011;""
1018412;0481650199;22/03/2013;28/06/2011;""
101874;0312750037;31/07/1998;01/10/2013;14/06/2024
101875;0312750083;31/07/1998;25/05/2021;20/09/2024
101876;0312750084;31/07/1998;14/10/1998;17/02/2023
101877;0312750085;31/07/1998;01/10/2013;03/11/2023
101878;0312750086;31/07/1998;14/10/1998;06/12/2024
101882;0312750090;31/07/1998;14/10/1998;13/12/2024
101883;0312750091;31/07/1998;01/10/2013;18/10/2024
101884;0312750092;31/07/1998;09/07/2013;06/11/2020
101885;0312750093;31/07/1998;14/10/1998;15/11/2024
1018865;0820220071;22/03/2013;26/10/2020;15/04/2022
101895;0472750018;31/07/1998;04/11/1998;30/09/2022
101927;0322290036;31/07/1998;30/07/1998;04/10/2019
101929;0322290038;31/07/1998;30/07/1998;22/03/2024
1019565;0310180064;05/04/2013;"";13/09/2013
1019630;0342700471;29/03/2013;31/07/1996;31/10/2024
102;0110230005;31/12/1959;01/07/2012;07/04/2023
1020216;0342050033;29/03/2013;03/07/2019;30/06/2023
1020218;0342050035;29/03/2013;03/07/2019;05/02/2021
1021153;0300990029;29/03/2013;15/05/2013;24/03/2023
1021511;0110030471;05/04/2013;03/05/2013;17/03/2017
102180;0112290055;21/08/1998;16/10/1997;14/10/2022
102181;0112290056;21/08/1998;15/01/1998;25/04/2022
102182;0112290057;21/08/1998;25/12/1997;22/03/2024
102195;0342290140;21/08/1998;21/08/1998;09/08/2024
102196;0342290141;21/08/1998;21/08/1998;05/11/2021
102197;0342290142;21/08/1998;21/08/1998;25/04/2022
1022090;0810220107;05/04/2013;05/04/2013;21/12/2018
102254;0110230018;21/08/1998;23/06/2020;03/04/2020
102271;0312750102;28/08/1998;14/10/1998;05/01/2024
102274;0312750106;28/08/1998;14/10/1998;18/10/2024
102275;0322750007;28/08/1998;14/10/1998;29/09/2023
102331;0822750019;28/08/1998;09/10/2012;05/01/2024
1023350;0340030929;12/04/2013;03/05/2013;""
1023351;0340030930;05/04/2013;03/05/2013;24/03/2017
1023352;0340030931;05/04/2013;03/05/2013;24/03/2017
1023354;0340030933;05/04/2013;03/05/2013;24/03/2017
1023378;0090990008;05/04/2013;21/01/2014;17/02/2023
